nohup: ignoring input
Escuchando en 0.0.0.0:6100...
Tablas 'mediciones' y 'mediciones2' verificadas o creadas exitosamente.
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999849","longitude":"-74.929596","timestamp":1732201949763,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999849, Longitud: -74.929596, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:29
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999789","longitude":"-74.929874","timestamp":1732201950765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999789, Longitud: -74.929874, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:30
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999732","longitude":"-74.930153","timestamp":1732201951766,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999732, Longitud: -74.930153, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:31
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999674","longitude":"-74.930432","timestamp":1732201952764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999674, Longitud: -74.930432, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:32
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999617","longitude":"-74.930708","timestamp":1732201953764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999617, Longitud: -74.930708, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:33
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999559","longitude":"-74.930987","timestamp":1732201954764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999559, Longitud: -74.930987, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:34
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999501","longitude":"-74.931266","timestamp":1732201955763,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999501, Longitud: -74.931266, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:35
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999444","longitude":"-74.931544","timestamp":1732201956763,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999444, Longitud: -74.931544, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:36
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999386","longitude":"-74.931824","timestamp":1732201957765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999386, Longitud: -74.931824, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:37
